loan_id,Name,Gender,Marital_Status,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,loan_income_ratio,loan_asset_ratio,income_category,cibil_category,risk_level,eligibility_status
481,Jessica F. Gonzalez,Female,Married,4,Not Graduate,No,8300000,30700000,6,381,21700000,2300000,26700000,4600000,Rejected,55300000,3.7,0.56,Very High,Poor,Medium Risk,Not Eligible
482,Betty G. Smith,Female,Married,0,Graduate,Yes,5300000,15000000,2,900,1700000,2100000,21000000,5800000,Approved,30600000,2.83,0.49,High,Excellent,Low Risk,Eligible
483,Betty G. Smith,Female,Single,4,Graduate,No,8300000,24900000,16,506,15400000,5600000,26700000,7000000,Rejected,54700000,3.0,0.46,Very High,Poor,Medium Risk,Not Eligible
484,Joshua R. Brown,Male,Single,3,Not Graduate,Yes,2500000,8800000,12,538,4900000,1800000,9100000,3300000,Rejected,19100000,3.52,0.46,Low,Poor,Medium Risk,Not Eligible
485,Susan Anderson,Female,Married,3,Graduate,Yes,5400000,14400000,8,677,11000000,7900000,20800000,3100000,Approved,42800000,2.67,0.34,High,Good,Medium Risk,Eligible
486,Kimberley T. Hernandez,Female,Single,4,Graduate,No,1600000,4900000,8,685,3200000,2000000,3800000,1500000,Approved,10500000,3.06,0.47,Low,Good,Medium Risk,Eligible
487,Matthew T. Lopez,Male,Single,2,Not Graduate,No,2400000,6200000,12,860,4900000,3700000,9500000,1100000,Approved,19200000,2.58,0.32,Low,Excellent,Low Risk,Eligible
488,Michelle Jackson,Female,Single,5,Not Graduate,No,6300000,14800000,6,608,16100000,10500000,21800000,5400000,Approved,53800000,2.35,0.28,High,Fair,Medium Risk,Eligible
489,Thomas Martinez,Male,Single,4,Graduate,Yes,2500000,5300000,10,540,2300000,2800000,7100000,1700000,Rejected,13900000,2.12,0.38,Low,Poor,Medium Risk,Not Eligible
490,Paul Gonzalez,Male,Single,0,Graduate,Yes,7500000,16800000,16,492,21500000,4800000,25400000,11100000,Rejected,62800000,2.24,0.27,High,Poor,Medium Risk,Not Eligible
491,Sandra Garcia,Female,Married,3,Not Graduate,No,2900000,8500000,14,834,1200000,4500000,8800000,1800000,Approved,16300000,2.93,0.52,Medium,Excellent,Low Risk,Eligible
492,Andrew Garcia,Male,Single,3,Graduate,Yes,1000000,3500000,16,834,800000,1700000,3000000,700000,Approved,6200000,3.5,0.56,Low,Excellent,Low Risk,Eligible
493,Margaret Martin,Female,Single,2,Graduate,Yes,8600000,28800000,8,890,23300000,5900000,21200000,7200000,Approved,57600000,3.35,0.5,Very High,Excellent,Low Risk,Eligible
494,Steven Jones,Male,Single,1,Not Graduate,No,300000,1100000,12,443,600000,400000,1200000,200000,Rejected,2400000,3.67,0.46,Low,Poor,Medium Risk,Not Eligible
495,Sandra Thomas,Female,Married,5,Not Graduate,No,2300000,5700000,18,329,5600000,3300000,4900000,2700000,Rejected,16500000,2.48,0.35,Low,Poor,Medium Risk,Not Eligible
496,Barbara Z. Williams,Female,Married,2,Not Graduate,Yes,2400000,5400000,12,739,300000,2500000,5000000,3000000,Approved,10800000,2.25,0.5,Low,Good,Low Risk,Eligible
497,Patricia Rodriguez,Female,Single,5,Graduate,Yes,9800000,30300000,6,867,20800000,16000000,30200000,7600000,Approved,74600000,3.09,0.41,Very High,Excellent,Low Risk,Eligible
498,Donna D. Thomas,Female,Married,2,Not Graduate,No,8100000,24800000,6,307,200000,4000000,31100000,10500000,Rejected,45800000,3.06,0.54,Very High,Poor,Medium Risk,Not Eligible
499,Emily Y. Lopez,Female,Single,3,Graduate,No,6700000,15500000,18,492,2100000,2000000,26300000,9400000,Rejected,39800000,2.31,0.39,High,Poor,Medium Risk,Not Eligible
500,Emily D. Miller,Female,Married,1,Not Graduate,Yes,8400000,24700000,18,698,23000000,13200000,32700000,12200000,Approved,81100000,2.94,0.3,Very High,Good,Medium Risk,Eligible
501,Christopher Johnson,Male,Single,2,Graduate,No,200000,700000,8,851,400000,200000,800000,200000,Approved,1600000,3.5,0.44,Low,Excellent,Low Risk,Eligible
502,Donald H. Brown,Male,Single,2,Graduate,No,4700000,12500000,14,375,1300000,6300000,10100000,5400000,Rejected,23100000,2.66,0.54,Medium,Poor,Medium Risk,Not Eligible
503,Michelle Wilson,Female,Single,0,Graduate,Yes,4300000,14300000,14,601,3800000,900000,16700000,5700000,Approved,27100000,3.33,0.53,Medium,Fair,Medium Risk,Eligible
504,Joseph R. Johnson,Male,Single,4,Not Graduate,No,2200000,7000000,20,756,3600000,3900000,5700000,1200000,Approved,14400000,3.18,0.49,Low,Excellent,Low Risk,Eligible
505,Daniel Martinez,Male,Single,4,Graduate,Yes,8600000,19200000,4,868,20400000,1500000,32800000,9300000,Approved,64000000,2.23,0.3,Very High,Excellent,Low Risk,Eligible
506,David I. Wilson,Male,Divorced,4,Graduate,Yes,2000000,7200000,10,838,2500000,300000,7600000,1000000,Approved,11400000,3.6,0.63,Low,Excellent,Low Risk,Eligible
507,David Davis,Male,Single,4,Not Graduate,Yes,4200000,15900000,14,375,7200000,7900000,16200000,3000000,Rejected,34300000,3.79,0.46,Medium,Poor,Medium Risk,Not Eligible
508,Anthony Thomas,Male,Married,0,Not Graduate,Yes,5100000,12500000,18,778,3300000,1000000,14800000,3200000,Approved,22300000,2.45,0.56,High,Excellent,Low Risk,Eligible
509,Betty Anderson,Female,Married,2,Graduate,Yes,4100000,11200000,6,442,12200000,4100000,10000000,4500000,Rejected,30800000,2.73,0.36,Medium,Poor,Medium Risk,Not Eligible
510,Anthony W. Taylor,Male,Divorced,1,Graduate,Yes,9900000,39500000,12,808,11800000,3700000,30200000,13500000,Approved,59200000,3.99,0.67,Very High,Excellent,Low Risk,Eligible
511,Margaret Thomas,Female,Single,1,Not Graduate,Yes,3200000,9000000,20,372,2700000,2800000,7200000,3800000,Rejected,16500000,2.81,0.55,Medium,Poor,Medium Risk,Not Eligible
512,Donald Z. Lopez,Male,Married,2,Graduate,No,5500000,19000000,4,597,1100000,4000000,18700000,5300000,Approved,29100000,3.45,0.65,High,Fair,Medium Risk,Eligible
513,Mark Miller,Male,Single,0,Graduate,Yes,7800000,29100000,20,435,21100000,13000000,17300000,9700000,Rejected,61100000,3.73,0.48,Very High,Poor,Medium Risk,Not Eligible
514,Lisa S. Moore,Female,Divorced,3,Graduate,Yes,3400000,9700000,20,728,1500000,1500000,7300000,2400000,Approved,12700000,2.85,0.76,Medium,Good,Low Risk,Eligible
515,Patricia Johnson,Female,Married,4,Graduate,Yes,7900000,25900000,14,373,10900000,14300000,27700000,7600000,Rejected,60500000,3.28,0.43,Very High,Poor,Medium Risk,Not Eligible
516,Mary F. Brown,Female,Married,3,Graduate,Yes,8900000,18500000,10,367,6100000,0,32000000,10300000,Rejected,48400000,2.08,0.38,Very High,Poor,Medium Risk,Not Eligible
517,Mark E. Miller,Male,Divorced,2,Graduate,No,7300000,19100000,14,552,2000000,13400000,16800000,4000000,Approved,36200000,2.62,0.53,High,Fair,Medium Risk,Eligible
518,Barbara Rodriguez,Female,Single,4,Not Graduate,Yes,3300000,10600000,8,465,500000,4400000,7300000,2800000,Rejected,15000000,3.21,0.71,Medium,Poor,Medium Risk,Not Eligible
519,Matthew Garcia,Male,Married,4,Graduate,Yes,2900000,10500000,8,607,4400000,5500000,7600000,3800000,Approved,21300000,3.62,0.49,Medium,Fair,Medium Risk,Eligible
520,Mark A. Williams,Male,Single,2,Graduate,Yes,500000,1300000,4,427,1400000,500000,1800000,600000,Rejected,4300000,2.6,0.3,Low,Poor,Medium Risk,Not Eligible
521,David Jackson,Male,Married,3,Not Graduate,No,7200000,21200000,4,711,10800000,4200000,24900000,5700000,Approved,45600000,2.94,0.46,High,Good,Low Risk,Eligible
522,James N. Hernandez,Male,Married,3,Not Graduate,No,8300000,24100000,14,823,5900000,700000,24000000,7700000,Approved,38300000,2.9,0.63,Very High,Excellent,Low Risk,Eligible
523,Jennifer Davis,Female,Married,1,Not Graduate,Yes,8700000,20500000,6,523,19300000,6500000,23700000,4800000,Rejected,54300000,2.36,0.38,Very High,Poor,Medium Risk,Not Eligible
524,William Hernandez,Male,Single,4,Not Graduate,Yes,7100000,27900000,10,328,9000000,13400000,26500000,7700000,Rejected,56600000,3.93,0.49,High,Poor,Medium Risk,Not Eligible
525,Elizabeth Jones,Female,Married,3,Graduate,Yes,9800000,28200000,12,721,15800000,6500000,21900000,9600000,Approved,53800000,2.88,0.52,Very High,Good,Low Risk,Eligible
526,Donald U. Lopez,Male,Married,0,Graduate,Yes,6900000,17000000,20,599,18100000,9400000,26600000,4300000,Approved,58400000,2.46,0.29,High,Fair,Medium Risk,Eligible
527,Michelle C. Anderson,Female,Divorced,0,Not Graduate,No,2400000,5000000,14,580,5900000,4400000,5500000,3200000,Approved,19000000,2.08,0.26,Low,Fair,Medium Risk,Eligible
528,William L. Jackson,Male,Widowed,1,Not Graduate,Yes,2100000,4900000,10,744,200000,2000000,5400000,1000000,Approved,8600000,2.33,0.57,Low,Good,Low Risk,Eligible
529,Elizabeth Davis,Female,Single,2,Graduate,Yes,7200000,23900000,4,559,4200000,12200000,17800000,10800000,Approved,45000000,3.32,0.53,High,Fair,Medium Risk,Eligible
530,Mary Martinez,Female,Married,2,Graduate,No,4600000,13500000,16,587,7700000,5900000,10600000,5000000,Approved,29200000,2.93,0.46,Medium,Fair,Medium Risk,Eligible
531,Anthony Z. Martinez,Male,Divorced,5,Graduate,Yes,9900000,31800000,18,817,23400000,700000,32600000,11500000,Approved,68200000,3.21,0.47,Very High,Excellent,Low Risk,Eligible
532,Steven Gonzalez,Male,Married,4,Not Graduate,Yes,300000,1000000,20,655,0,100000,1100000,400000,Approved,1600000,3.33,0.62,Low,Good,Medium Risk,Eligible
533,Paul K. Smith,Male,Single,5,Graduate,Yes,6900000,23900000,6,382,17100000,6900000,21500000,8900000,Rejected,54400000,3.46,0.44,High,Poor,Medium Risk,Not Eligible
534,Nancy Y. Moore,Female,Married,2,Graduate,Yes,1700000,4300000,6,765,5000000,1500000,3400000,900000,Approved,10800000,2.53,0.4,Low,Excellent,Low Risk,Eligible
535,James Jackson,Male,Single,2,Graduate,Yes,4400000,10000000,20,516,7400000,7600000,12200000,5100000,Rejected,32300000,2.27,0.31,Medium,Poor,Medium Risk,Not Eligible
536,Robert U. Gonzalez,Male,Married,4,Not Graduate,Yes,4300000,15000000,8,383,4700000,100000,9000000,4900000,Rejected,18700000,3.49,0.8,Medium,Poor,Medium Risk,Not Eligible
537,Sandra Gonzalez,Female,Married,2,Not Graduate,No,3700000,14100000,6,633,800000,200000,11300000,3400000,Approved,15700000,3.81,0.9,Medium,Fair,Medium Risk,Eligible
538,Charles Williams,Male,Married,1,Graduate,No,5900000,15200000,2,547,17100000,2000000,14700000,3600000,Rejected,37400000,2.58,0.41,High,Poor,Medium Risk,Not Eligible
539,David Moore,Male,Married,5,Not Graduate,Yes,8600000,26300000,10,843,23300000,9800000,18100000,11300000,Approved,62500000,3.06,0.42,Very High,Excellent,Low Risk,Eligible
540,Christopher H. Wilson,Male,Single,3,Not Graduate,Yes,3400000,13200000,8,783,6500000,300000,13000000,4900000,Approved,24700000,3.88,0.53,Medium,Excellent,Low Risk,Eligible
541,Mark Brown,Male,Married,3,Not Graduate,Yes,1000000,3200000,14,790,1900000,100000,3600000,1100000,Approved,6700000,3.2,0.48,Low,Excellent,Low Risk,Eligible
542,Barbara Brown,Female,Single,1,Not Graduate,Yes,4400000,14200000,16,409,12700000,1300000,12600000,4500000,Rejected,31100000,3.23,0.46,Medium,Poor,Medium Risk,Not Eligible
543,Richard Q. Thomas,Male,Married,0,Not Graduate,No,3600000,7800000,14,376,9800000,6900000,11900000,3000000,Rejected,31600000,2.17,0.25,Medium,Poor,Medium Risk,Not Eligible
544,Barbara Lopez,Female,Married,3,Not Graduate,No,1400000,2700000,8,625,3100000,1800000,3400000,1000000,Approved,9300000,1.93,0.29,Low,Fair,Medium Risk,Eligible
545,Linda Smith,Female,Married,0,Not Graduate,No,5300000,10900000,18,707,12900000,2600000,12700000,7600000,Approved,35800000,2.06,0.3,High,Good,Low Risk,Eligible
546,Charles P. Jackson,Male,Married,3,Graduate,Yes,9400000,20500000,6,645,17400000,13000000,24500000,10200000,Approved,65100000,2.18,0.31,Very High,Fair,Medium Risk,Eligible
547,Patricia F. Thomas,Female,Single,4,Not Graduate,Yes,6600000,22100000,6,887,3600000,3500000,19800000,4700000,Approved,31600000,3.35,0.7,High,Excellent,Low Risk,Eligible
548,Linda D. Jackson,Female,Single,5,Graduate,No,9800000,37600000,18,319,19200000,5100000,19900000,5100000,Rejected,49300000,3.84,0.76,Very High,Poor,Medium Risk,Not Eligible
549,Robert Smith,Male,Married,1,Not Graduate,No,1900000,4900000,20,647,4100000,2100000,6800000,1700000,Approved,14700000,2.58,0.33,Low,Fair,Medium Risk,Eligible
550,Elizabeth B. Garcia,Female,Married,2,Not Graduate,Yes,5800000,22500000,6,888,11900000,2600000,17100000,4800000,Approved,36400000,3.88,0.62,High,Excellent,Low Risk,Eligible
551,Jessica Hernandez,Female,Divorced,2,Not Graduate,No,3100000,10400000,10,420,6900000,5900000,10000000,3500000,Rejected,26300000,3.35,0.4,Medium,Poor,Medium Risk,Not Eligible
552,Sarah D. Williams,Female,Married,0,Graduate,No,6800000,18400000,2,791,4000000,900000,20200000,9900000,Approved,35000000,2.71,0.53,High,Excellent,Low Risk,Eligible
553,Richard B. Davis,Male,Divorced,5,Not Graduate,No,4600000,16200000,12,891,5900000,1200000,10800000,3700000,Approved,21600000,3.52,0.75,Medium,Excellent,Low Risk,Eligible
554,Donald J. Martinez,Male,Single,2,Not Graduate,Yes,200000,700000,16,641,600000,200000,600000,100000,Approved,1500000,3.5,0.47,Low,Fair,Medium Risk,Eligible
555,Mary Lopez,Female,Married,3,Not Graduate,Yes,9500000,22800000,6,319,200000,18800000,34100000,9400000,Rejected,62500000,2.4,0.36,Very High,Poor,Medium Risk,Not Eligible
556,Michelle Davis,Female,Married,5,Not Graduate,Yes,6200000,22200000,20,819,13500000,6600000,21700000,8700000,Approved,50500000,3.58,0.44,High,Excellent,Low Risk,Eligible
557,Susan H. Moore,Female,Single,4,Not Graduate,Yes,9700000,32300000,18,387,11600000,14300000,20000000,5400000,Rejected,51300000,3.33,0.63,Very High,Poor,Medium Risk,Not Eligible
558,Mary U. Davis,Female,Married,5,Graduate,Yes,4200000,12300000,2,686,10500000,200000,15600000,4200000,Approved,30500000,2.93,0.4,Medium,Good,Medium Risk,Eligible
559,Daniel M. Smith,Male,Married,1,Graduate,Yes,5700000,12000000,4,415,15700000,900000,17300000,7400000,Rejected,41300000,2.11,0.29,High,Poor,Medium Risk,Not Eligible
560,Linda H. Miller,Female,Married,2,Graduate,Yes,200000,500000,6,885,0,0,300000,200000,Rejected,500000,2.5,1.0,Low,Excellent,Low Risk,Eligible
561,David Rodriguez,Male,Divorced,4,Graduate,No,8000000,25500000,4,722,17200000,13900000,26200000,4900000,Approved,62200000,3.19,0.41,Very High,Good,Low Risk,Eligible
562,Nancy C. Anderson,Female,Married,4,Graduate,No,5200000,20400000,20,761,4700000,1600000,14300000,6200000,Approved,26800000,3.92,0.76,High,Excellent,Low Risk,Eligible
563,Anthony B. Williams,Male,Married,1,Graduate,Yes,7100000,15200000,8,389,5900000,900000,24300000,5900000,Rejected,37000000,2.14,0.41,High,Poor,Medium Risk,Not Eligible
564,Thomas Martinez,Male,Single,1,Graduate,Yes,9300000,27900000,12,600,2100000,4200000,29000000,6600000,Approved,41900000,3.0,0.67,Very High,Fair,Medium Risk,Eligible
565,Lisa Hernandez,Female,Single,5,Graduate,No,2000000,6100000,2,407,1900000,1900000,4600000,2000000,Approved,10400000,3.05,0.59,Low,Poor,Medium Risk,Not Eligible
566,David Jackson,Male,Single,3,Graduate,Yes,3900000,14000000,18,829,5200000,4000000,11600000,2700000,Approved,23500000,3.59,0.6,Medium,Excellent,Low Risk,Eligible
567,Margaret Hernandez,Female,Married,2,Not Graduate,No,2800000,5900000,6,895,1000000,3900000,10900000,1500000,Approved,17300000,2.11,0.34,Medium,Excellent,Low Risk,Eligible
568,Donald Martinez,Male,Divorced,5,Graduate,Yes,3000000,11100000,12,441,8500000,2500000,7300000,2000000,Rejected,20300000,3.7,0.55,Medium,Poor,Medium Risk,Not Eligible
569,Richard W. Martinez,Male,Married,4,Not Graduate,No,4500000,9800000,16,895,9800000,8200000,13900000,5500000,Approved,37400000,2.18,0.26,Medium,Excellent,Low Risk,Eligible
570,Daniel Jones,Male,Single,4,Graduate,No,1900000,4300000,4,826,2400000,0,7000000,900000,Approved,10300000,2.26,0.42,Low,Excellent,Low Risk,Eligible
571,Betty Taylor,Female,Single,1,Graduate,No,2300000,7200000,8,453,3000000,2100000,8100000,3400000,Rejected,16600000,3.13,0.43,Low,Poor,Medium Risk,Not Eligible
572,James R. Gonzalez,Male,Married,0,Graduate,No,4700000,17500000,2,701,5400000,2300000,11700000,7000000,Approved,26400000,3.72,0.66,Medium,Good,Low Risk,Eligible
573,William Anderson,Male,Married,2,Not Graduate,Yes,1300000,2700000,8,627,100000,300000,2600000,1300000,Approved,4300000,2.08,0.63,Low,Fair,Medium Risk,Eligible
574,James H. Johnson,Male,Single,3,Graduate,No,3100000,11000000,2,543,5900000,2200000,9000000,2400000,Approved,19500000,3.55,0.56,Medium,Poor,Medium Risk,Not Eligible
575,Nancy I. Williams,Female,Divorced,0,Graduate,No,8400000,17500000,18,411,13200000,5300000,31300000,10400000,Rejected,60200000,2.08,0.29,Very High,Poor,Medium Risk,Not Eligible
576,James Williams,Male,Married,5,Graduate,Yes,1700000,5800000,4,583,2000000,1800000,6000000,2300000,Approved,12100000,3.41,0.48,Low,Fair,Medium Risk,Eligible
577,Michael Hernandez,Male,Divorced,2,Not Graduate,No,1900000,7500000,2,889,600000,1100000,7100000,2600000,Approved,11400000,3.95,0.66,Low,Excellent,Low Risk,Eligible
578,Richard Jackson,Male,Married,3,Not Graduate,No,2400000,8600000,8,684,3400000,2400000,6200000,1600000,Approved,13600000,3.58,0.63,Low,Good,Medium Risk,Eligible
579,Mary F. Gonzalez,Female,Single,5,Graduate,No,6800000,20500000,10,578,500000,11800000,27200000,3400000,Approved,42900000,3.01,0.48,High,Fair,Medium Risk,Eligible
580,Charles Rodriguez,Male,Single,1,Graduate,No,2900000,10900000,20,445,6600000,2800000,9300000,2600000,Rejected,21300000,3.76,0.51,Medium,Poor,Medium Risk,Not Eligible
581,Christopher Thomas,Male,Married,4,Graduate,Yes,8900000,26300000,10,369,23900000,7000000,27400000,12100000,Rejected,70400000,2.96,0.37,Very High,Poor,Medium Risk,Not Eligible
582,Michael Rodriguez,Male,Married,1,Not Graduate,No,8800000,22200000,18,794,8400000,11900000,21000000,10500000,Approved,51800000,2.52,0.43,Very High,Excellent,Low Risk,Eligible
583,Andrew Z. Smith,Male,Married,0,Graduate,Yes,8200000,19200000,16,492,16500000,9200000,20000000,7200000,Rejected,52900000,2.34,0.36,Very High,Poor,Medium Risk,Not Eligible
584,Emily Thomas,Female,Married,3,Not Graduate,Yes,3600000,13200000,16,557,9800000,4000000,9900000,2100000,Approved,25800000,3.67,0.51,Medium,Fair,Medium Risk,Eligible
585,Betty Rodriguez,Female,Single,4,Graduate,Yes,9500000,31800000,6,519,5900000,1300000,28400000,12200000,Rejected,47800000,3.35,0.67,Very High,Poor,Medium Risk,Not Eligible
586,James Rodriguez,Male,Widowed,0,Not Graduate,Yes,1900000,5700000,18,699,5500000,200000,6500000,2000000,Approved,14200000,3.0,0.4,Low,Good,Medium Risk,Eligible
587,Donna D. Davis,Female,Single,3,Not Graduate,Yes,9100000,24600000,2,741,8000000,4000000,35500000,13600000,Approved,61100000,2.7,0.4,Very High,Good,Low Risk,Eligible
588,Charles X. Moore,Male,Single,5,Graduate,No,1100000,3800000,18,508,200000,1800000,2300000,900000,Rejected,5200000,3.45,0.73,Low,Poor,Medium Risk,Not Eligible
589,Joshua Gonzalez,Male,Married,5,Not Graduate,Yes,1100000,2800000,10,647,2700000,2000000,4300000,1400000,Approved,10400000,2.55,0.27,Low,Fair,Medium Risk,Eligible
590,Richard Z. Davis,Male,Married,1,Graduate,No,9300000,28600000,14,656,17300000,9100000,27400000,12500000,Approved,66300000,3.08,0.43,Very High,Good,Medium Risk,Eligible
591,Donna L. Smith,Female,Divorced,4,Graduate,Yes,3900000,10600000,2,439,300000,7600000,14800000,2500000,Rejected,25200000,2.72,0.42,Medium,Poor,Medium Risk,Not Eligible
592,Joshua Z. Miller,Male,Divorced,5,Not Graduate,Yes,1500000,4000000,12,350,2900000,1900000,4400000,1200000,Rejected,10400000,2.67,0.38,Low,Poor,Medium Risk,Not Eligible
593,Emily Martinez,Female,Single,5,Graduate,No,800000,2200000,6,493,900000,500000,2800000,1000000,Rejected,5200000,2.75,0.42,Low,Poor,Medium Risk,Not Eligible
594,Thomas Martin,Male,Married,4,Graduate,No,600000,1800000,6,851,100000,1100000,2100000,800000,Approved,4100000,3.0,0.44,Low,Excellent,Low Risk,Eligible
595,Daniel Martin,Male,Single,2,Graduate,No,4400000,12500000,18,492,7900000,1200000,10100000,2700000,Rejected,21900000,2.84,0.57,Medium,Poor,Medium Risk,Not Eligible
596,Daniel Johnson,Male,Married,4,Graduate,Yes,2700000,5400000,6,861,6300000,2400000,6700000,2700000,Approved,18100000,2.0,0.3,Medium,Excellent,Low Risk,Eligible
597,William C. Taylor,Male,Single,3,Not Graduate,Yes,6200000,14600000,2,664,18300000,8400000,16800000,6600000,Approved,50100000,2.35,0.29,High,Good,Medium Risk,Eligible
598,Donna Brown,Female,Single,5,Graduate,Yes,700000,1300000,16,362,2100000,1300000,2000000,1000000,Rejected,6400000,1.86,0.2,Low,Poor,Medium Risk,Not Eligible
599,Mark F. Thomas,Male,Married,0,Graduate,No,3400000,9400000,6,703,600000,6000000,8600000,2600000,Approved,17800000,2.76,0.53,Medium,Good,Low Risk,Eligible
600,Jessica M. Jackson,Female,Single,1,Not Graduate,Yes,4900000,16800000,12,758,1700000,2700000,11100000,5900000,Approved,21400000,3.43,0.79,Medium,Excellent,Low Risk,Eligible
601,Elizabeth W. Garcia,Female,Divorced,3,Not Graduate,Yes,4200000,9700000,2,396,700000,8200000,8600000,4300000,Rejected,21800000,2.31,0.44,Medium,Poor,Medium Risk,Not Eligible
602,Donna Johnson,Female,Single,0,Graduate,Yes,5300000,10600000,2,828,8100000,6700000,17400000,5800000,Approved,38000000,2.0,0.28,High,Excellent,Low Risk,Eligible
603,Joshua E. Brown,Male,Single,5,Graduate,Yes,3700000,10000000,20,709,8000000,800000,12000000,2200000,Approved,23000000,2.7,0.43,Medium,Good,Low Risk,Eligible
604,Thomas F. Lopez,Male,Married,4,Not Graduate,Yes,5600000,17500000,10,528,14200000,2300000,12100000,7200000,Rejected,35800000,3.12,0.49,High,Poor,Medium Risk,Not Eligible
605,Daniel Anderson,Male,Single,2,Graduate,Yes,4300000,16000000,14,623,9800000,6700000,17000000,4500000,Approved,38000000,3.72,0.42,Medium,Fair,Medium Risk,Eligible
606,Matthew X. Rodriguez,Male,Single,4,Not Graduate,Yes,7100000,24500000,14,599,9100000,7000000,20400000,6800000,Approved,43300000,3.45,0.57,High,Fair,Medium Risk,Eligible
607,Margaret N. Wilson,Female,Married,4,Graduate,Yes,5400000,12700000,4,622,11000000,3300000,15100000,6500000,Approved,35900000,2.35,0.35,High,Fair,Medium Risk,Eligible
608,Nancy Moore,Female,Married,0,Not Graduate,No,6000000,13100000,6,385,16600000,7600000,22000000,7400000,Rejected,53600000,2.18,0.24,High,Poor,Medium Risk,Not Eligible
609,Richard Anderson,Male,Married,4,Graduate,Yes,4100000,12500000,2,579,10900000,7200000,12200000,2000000,Approved,32300000,3.05,0.39,Medium,Fair,Medium Risk,Eligible
610,Mary Hernandez,Female,Single,4,Not Graduate,No,8300000,17900000,20,846,12700000,1300000,26800000,12200000,Approved,53000000,2.16,0.34,Very High,Excellent,Low Risk,Eligible
611,Barbara Gonzalez,Female,Single,3,Graduate,No,8100000,23900000,10,449,7100000,6100000,28300000,8900000,Rejected,50400000,2.95,0.47,Very High,Poor,Medium Risk,Not Eligible
612,Daniel P. Martin,Male,Married,1,Not Graduate,No,7200000,24900000,14,666,3600000,11600000,16600000,5800000,Approved,37600000,3.46,0.66,High,Good,Medium Risk,Eligible
613,Barbara F. Martin,Female,Single,5,Graduate,No,7200000,17500000,4,380,2300000,400000,17500000,6200000,Rejected,26400000,2.43,0.66,High,Poor,Medium Risk,Not Eligible
614,Susan Miller,Female,Married,2,Graduate,Yes,3500000,8100000,4,589,3800000,6700000,12500000,2700000,Approved,25700000,2.31,0.32,Medium,Fair,Medium Risk,Eligible
615,Karen Martinez,Female,Single,1,Graduate,No,6200000,19500000,12,845,9100000,2900000,15300000,4000000,Approved,31300000,3.15,0.62,High,Excellent,Low Risk,Eligible
616,Elizabeth Johnson,Female,Married,3,Not Graduate,No,5200000,17300000,10,401,2600000,1400000,12700000,6400000,Rejected,23100000,3.33,0.75,High,Poor,Medium Risk,Not Eligible
617,Michelle Thomas,Female,Single,0,Not Graduate,No,4500000,14500000,2,766,6100000,8400000,17200000,6600000,Approved,38300000,3.22,0.38,Medium,Excellent,Low Risk,Eligible
618,Christopher Williams,Male,Single,5,Not Graduate,No,5400000,15100000,12,522,5200000,4700000,13900000,5700000,Rejected,29500000,2.8,0.51,High,Poor,Medium Risk,Not Eligible
619,Ashley I. Thomas,Female,Single,3,Not Graduate,Yes,2000000,6900000,6,834,2200000,2800000,6400000,3000000,Approved,14400000,3.45,0.48,Low,Excellent,Low Risk,Eligible
620,Barbara L. Lopez,Female,Single,3,Graduate,No,8900000,25400000,8,588,19400000,12100000,18800000,4500000,Approved,54800000,2.85,0.46,Very High,Fair,Medium Risk,Eligible
621,Charles Anderson,Male,Single,2,Graduate,No,5000000,10600000,4,570,11900000,900000,14800000,7100000,Approved,34700000,2.12,0.31,Medium,Fair,Medium Risk,Eligible
622,Donna Johnson,Female,Married,2,Graduate,No,4900000,17600000,6,860,13600000,7500000,12700000,5600000,Approved,39400000,3.59,0.45,Medium,Excellent,Low Risk,Eligible
623,Michael N. Lopez,Male,Widowed,4,Graduate,Yes,5300000,19200000,4,655,14200000,6900000,17800000,3900000,Approved,42800000,3.62,0.45,High,Good,Medium Risk,Eligible
624,Andrew Q. Johnson,Male,Married,3,Not Graduate,Yes,8500000,27700000,4,457,3600000,400000,18900000,5200000,Approved,28100000,3.26,0.99,Very High,Poor,Medium Risk,Not Eligible
625,Donna Davis,Female,Single,5,Graduate,Yes,700000,2100000,14,863,100000,1200000,2700000,600000,Approved,4600000,3.0,0.46,Low,Excellent,Low Risk,Eligible
626,Paul Z. Jackson,Male,Married,3,Not Graduate,Yes,5900000,18900000,4,742,10800000,4500000,23200000,8000000,Approved,46500000,3.2,0.41,High,Good,Low Risk,Eligible
627,William Anderson,Male,Widowed,3,Graduate,No,3500000,13300000,4,798,7400000,5300000,12100000,3600000,Approved,28400000,3.8,0.47,Medium,Excellent,Low Risk,Eligible
628,Joseph Jones,Male,Single,5,Not Graduate,Yes,7700000,18900000,16,552,15600000,6100000,23900000,6600000,Approved,52200000,2.45,0.36,Very High,Fair,Medium Risk,Eligible
629,Susan I. Jones,Female,Single,2,Not Graduate,Yes,4500000,12500000,12,418,400000,4300000,12400000,4300000,Rejected,21400000,2.78,0.58,Medium,Poor,Medium Risk,Not Eligible
630,Michael R. Gonzalez,Male,Single,0,Graduate,No,9100000,22200000,6,419,7400000,600000,18200000,9800000,Rejected,36000000,2.44,0.62,Very High,Poor,Medium Risk,Not Eligible
